economy_label,vessel_type,avg_vessel_age,median_time_in_port,avg_size_GT,avg_cargo_capacity_DWT,avg_container_capacity_TEU,max_size_GT,max_cargo_capacity_DWT,max_container_capacity_TEU,period
World,All_Vessel_Types,18,1.07,14285,25725.0,3407.0,236583,404389.0,24000.0,2022-S1
World,Liquid bulk carriers,15,1.0,16298,28286.0,,170618,323183.0,,2022-S1
World,Liquefied petroleum gas carriers,16,1.03,10726,11986.0,,60784,64220.0,,2022-S1
World,Liquefied natural gas carriers,12,1.12,96843,75614.0,,168189,155159.0,,2022-S1
World,Dry bulk carriers,14,2.23,32735,58640.0,,204014,404389.0,,2022-S1
World,Dry breakbulk carriers,21,1.19,5571,7604.0,,91784,138743.0,,2022-S1
World,Roll-on/ roll-off ships,17,,25706,10319.0,,100430,55828.0,,2022-S1
World,Container ships,15,0.84,36855,,3407.0,236583,,24000.0,2022-S1
World,Passenger ships,20,,8075,,,235600,,,2022-S1
Australia,All_Vessel_Types,17,1.61,32686,82425.0,4475.0,152305,297633.0,9572.0,2022-S1
Australia,Liquid bulk carriers,9,1.32,23888,40398.0,,84156,157564.0,,2022-S1
Australia,Liquefied petroleum gas carriers,8,0.91,14055,15142.0,,53471,57748.0,,2022-S1
Australia,Liquefied natural gas carriers,10,1.25,111880,86177.0,,149367,97955.0,,2022-S1
Australia,Dry bulk carriers,11,1.69,59339,110964.0,,152305,297633.0,,2022-S1
Australia,Dry breakbulk carriers,12,2.23,17715,27077.0,,57934,80500.0,,2022-S1
Australia,Roll-on/ roll-off ships,11,,42498,15559.0,,76420,43878.0,,2022-S1
Australia,Container ships,14,1.72,49168,,4475.0,109712,,9572.0,2022-S1
Australia,Passenger ships,26,,3615,,,91627,,,2022-S1
Canada,All_Vessel_Types,26,0.97,10931,34424.0,4709.0,225282,300837.0,16000.0,2022-S1
Canada,Liquid bulk carriers,12,1.09,25168,42234.0,,160462,300837.0,,2022-S1
Canada,Liquefied petroleum gas carriers,10,1.47,47594,54660.0,,48963,58757.0,,2022-S1
Canada,Dry bulk carriers,20,0.56,28491,49249.0,,109731,210898.0,,2022-S1
Canada,Dry breakbulk carriers,12,0.7,12010,16472.0,,40328,55531.0,,2022-S1
Canada,Roll-on/ roll-off ships,14,,9989,5184.0,,100430,55828.0,,2022-S1
Canada,Container ships,16,1.98,51902,,4709.0,176546,,16000.0,2022-S1
Canada,Passenger ships,29,,7020,,,225282,,,2022-S1
China,All_Vessel_Types,14,1.16,33241,46318.0,4446.0,236583,404389.0,24000.0,2022-S1
China,Liquid bulk carriers,12,1.15,19438,33800.0,,170618,323183.0,,2022-S1
China,Liquefied petroleum gas carriers,15,1.04,9885,10706.0,,60784,64220.0,,2022-S1
China,Liquefied natural gas carriers,11,1.23,101178,81703.0,,168189,155159.0,,2022-S1
China,Dry bulk carriers,14,2.07,42670,77916.0,,204014,404389.0,,2022-S1
China,Dry breakbulk carriers,17,1.63,10499,14781.0,,91649,103652.0,,2022-S1
China,Roll-on/ roll-off ships,13,,31057,10800.0,,76420,43878.0,,2022-S1
China,Container ships,13,0.77,47428,,4446.0,236583,,24000.0,2022-S1
China,Passenger ships,12,,21848,,,77499,,,2022-S1
Croatia,All_Vessel_Types,17,1.33,3783,18222.0,4002.0,153744,159385.0,15226.0,2022-S1
Croatia,Liquid bulk carriers,16,0.98,16657,28365.0,,84029,159385.0,,2022-S1
Croatia,Liquefied natural gas carriers,7,2.2,111313,87621.0,,126004,94665.0,,2022-S1
Croatia,Dry bulk carriers,24,3.03,18981,33376.0,,61677,114045.0,,2022-S1
Croatia,Dry breakbulk carriers,27,2.21,4151,5586.0,,66870,71955.0,,2022-S1
Croatia,Container ships,15,0.77,42555,,4002.0,153744,,15226.0,2022-S1
Croatia,Passenger ships,17,,3355,,,137936,,,2022-S1
Denmark,All_Vessel_Types,21,0.75,10004,7464.0,1991.0,214286,182983.0,19630.0,2022-S1
Denmark,Liquid bulk carriers,17,0.66,7644,12163.0,,86990,164028.0,,2022-S1
Denmark,Liquefied petroleum gas carriers,11,1.16,4370,4785.0,,17840,23484.0,,2022-S1
Denmark,Dry bulk carriers,13,0.83,9663,15905.0,,94090,182983.0,,2022-S1
Denmark,Dry breakbulk carriers,24,0.83,2997,4169.0,,20236,32269.0,,2022-S1
Denmark,Roll-on/ roll-off ships,17,,25653,13805.0,,72708,48988.0,,2022-S1
Denmark,Container ships,15,0.56,22080,,1991.0,214286,,19630.0,2022-S1
Denmark,Passenger ships,21,,10404,,,183200,,,2022-S1
France,All_Vessel_Types,18,1.21,21356,17633.0,5073.0,236583,319778.0,23964.0,2022-S1
France,Liquid bulk carriers,13,1.03,12382,20825.0,,167168,319778.0,,2022-S1
France,Liquefied petroleum gas carriers,13,1.11,8716,9828.0,,49567,55250.0,,2022-S1
France,Liquefied natural gas carriers,9,1.12,106670,82808.0,,149367,121935.0,,2022-S1
France,Dry bulk carriers,15,3.1,25675,45178.0,,107526,208521.0,,2022-S1
France,Dry breakbulk carriers,18,1.57,4550,6358.0,,46295,72871.0,,2022-S1
France,Roll-on/ roll-off ships,18,,26962,11462.0,,76420,45200.0,,2022-S1
France,Container ships,14,1.12,55262,,5073.0,236583,,23964.0,2022-S1
France,Passenger ships,20,,22142,,,235600,,,2022-S1
Germany,All_Vessel_Types,21,0.83,13707,9602.0,4438.0,236583,319191.0,23992.0,2022-S1
Germany,Liquid bulk carriers,18,0.53,5055,8285.0,,162800,319191.0,,2022-S1
Germany,Liquefied petroleum gas carriers,14,0.84,5712,6275.0,,48060,54543.0,,2022-S1
Germany,Dry bulk carriers,12,2.81,31199,54565.0,,108828,210898.0,,2022-S1
Germany,Dry breakbulk carriers,22,0.8,3938,4947.0,,46295,72927.0,,2022-S1
Germany,Roll-on/ roll-off ships,17,,30359,12722.0,,100430,55828.0,,2022-S1
Germany,Container ships,14,1.27,48304,,4438.0,236583,,23992.0,2022-S1
Germany,Passenger ships,22,,12124,,,183200,,,2022-S1
Greece,All_Vessel_Types,22,0.87,7937,7550.0,4275.0,219688,167295.0,21237.0,2022-S1
Greece,Liquid bulk carriers,22,0.6,5131,8040.0,,84796,167295.0,,2022-S1
Greece,Liquefied petroleum gas carriers,25,0.87,5115,5884.0,,17242,19621.0,,2022-S1
Greece,Liquefied natural gas carriers,8,1.01,107339,83865.0,,135951,99025.0,,2022-S1
Greece,Dry bulk carriers,26,0.76,7636,12723.0,,47051,87144.0,,2022-S1
Greece,Dry breakbulk carriers,34,1.19,2899,4009.0,,39463,52313.0,,2022-S1
Greece,Roll-on/ roll-off ships,35,,15824,6702.0,,76420,48988.0,,2022-S1
Greece,Container ships,17,1.19,45594,,4275.0,219688,,21237.0,2022-S1
Greece,Passenger ships,21,,7268,,,181541,,,2022-S1
